UMAP1,UMAP2,GT,KMeans,DEC,scDCC
-9.292611,0.71235037,Beta,Beta,Beta,Beta
9.079039,-3.5455995,Alpha,Delta,Alpha,Alpha
-9.694428,2.5707495,Beta,Beta,Beta,Beta
3.7821074,2.841491,Delta,Delta,Beta,Delta
-8.458282,1.3510934,Beta,Beta,Beta,Beta
8.926964,-5.0318613,Alpha,Alpha,Alpha,Alpha
9.216515,-3.7882082,Alpha,Alpha,Alpha,Alpha
-10.090544,0.6269083,Beta,Beta,Beta,Beta
5.620975,8.935623,Acinar,Acinar,Acinar,Acinar
8.844368,-4.741143,Alpha,Alpha,Alpha,Alpha
-9.28886,1.0785978,Beta,Beta,Beta,Beta
-10.26079,1.2279915,Beta,Beta,Beta,Beta
8.5713215,-5.3304944,Alpha,Alpha,Alpha,Alpha
-9.938069,1.5874206,Beta,Beta,Beta,Beta
3.725673,3.5040762,Delta,Delta,Beta,Delta
-7.809614,3.3042636,Beta,Beta,Beta,Beta
-8.992631,0.9332756,Beta,Beta,Beta,Beta
-9.263932,1.3164068,Beta,Beta,Beta,Beta
-9.3445,1.5979722,Beta,Beta,Beta,Beta
-10.083056,1.0530081,Beta,Beta,Beta,Beta
2.8013942,2.376868,Delta,Delta,Beta,Delta
-8.961784,2.5763006,Beta,Beta,Beta,Beta
-1.5372946,17.759333,Ductal,Ductal,Ductal,Ductal
-1.2674702,17.561054,Ductal,Ductal,Ductal,Ductal
-8.3731165,1.1529708,Beta,Beta,Beta,Beta
-8.344341,2.988163,Beta,Beta,Beta,Beta
-9.948678,0.8565009,Beta,Beta,Beta,Beta
-8.703744,1.2585628,Beta,Beta,Beta,Beta
3.3336692,3.5074215,Delta,Delta,Beta,Delta
-9.458365,2.2088106,Beta,Beta,Beta,Beta
15.018746,3.6352587,Stellate,Beta,Stellate,Stellate
-9.116248,1.230518,Beta,Beta,Beta,Beta
-9.097851,0.8037419,Beta,Beta,Beta,Beta
9.172405,-4.566758,Alpha,Alpha,Alpha,Alpha
-9.877243,1.9397291,Beta,Beta,Beta,Beta
8.79139,-5.0506153,Alpha,Alpha,Alpha,Alpha
-8.936144,1.4906268,Beta,Beta,Beta,Beta
3.2907526,0.50652057,Gamma,Delta,Alpha,Gamma
-9.430297,2.332565,Beta,Beta,Beta,Beta
-8.576669,1.7330258,Beta,Beta,Beta,Beta
-6.694286,1.5351014,Beta,Beta,Beta,Beta
-7.3565264,3.0631645,Beta,Beta,Beta,Beta
-8.91797,1.2725959,Beta,Beta,Beta,Beta
-9.399739,1.4639755,Beta,Beta,Beta,Beta
-8.759051,0.37810314,Beta,Beta,Beta,Beta
4.91343,9.283184,Acinar,Acinar,Acinar,Acinar
-7.5878067,3.610387,Beta,Beta,Beta,Beta
5.4466844,9.411827,Acinar,Acinar,Acinar,Acinar
-8.991669,1.0144228,Beta,Beta,Beta,Beta
-9.620655,2.2893717,Beta,Beta,Beta,Beta
-9.627061,1.804853,Beta,Beta,Beta,Beta
5.560574,8.589576,Acinar,Acinar,Acinar,Acinar
3.134115,2.9141698,Delta,Delta,Beta,Delta
-9.87048,1.0790826,Beta,Beta,Beta,Beta
2.7853162,3.4743805,Delta,Delta,Beta,Delta
-9.12788,1.1383721,Beta,Beta,Beta,Beta
5.433552,9.94827,Acinar,Acinar,Acinar,Acinar
8.744495,-4.714976,Alpha,Alpha,Alpha,Alpha
-8.689464,1.9948736,Beta,Beta,Beta,Beta
9.107439,-4.165816,Alpha,Alpha,Alpha,Alpha
-9.332912,0.9343092,Beta,Beta,Beta,Beta
8.460108,-5.0243454,Alpha,Alpha,Alpha,Alpha
17.33485,-5.584283,Beta,Beta,Beta,Beta
-8.590501,2.028119,Beta,Beta,Beta,Beta
-9.513712,1.8578684,Beta,Beta,Beta,Beta
8.539562,-5.6763053,Alpha,Alpha,Alpha,Alpha
3.7716548,2.669392,Delta,Delta,Beta,Delta
-9.151108,1.2286985,Beta,Beta,Beta,Beta
-9.636372,2.0809026,Beta,Beta,Beta,Beta
3.6027179,2.7798414,Delta,Delta,Beta,Delta
-9.251771,0.8897685,Beta,Beta,Beta,Beta
3.3318152,-0.5870688,Gamma,Delta,Alpha,Gamma
8.532142,-4.9640574,Alpha,Alpha,Alpha,Alpha
-9.148785,1.4871958,Beta,Beta,Beta,Beta
-8.726504,1.8339729,Beta,Beta,Beta,Beta
2.6825283,3.1593447,Delta,Delta,Beta,Delta
8.345572,-4.8997574,Alpha,Alpha,Alpha,Alpha
-2.7201924,16.563562,Ductal,Ductal,Ductal,Ductal
-9.728589,1.3270231,Beta,Beta,Beta,Beta
8.967355,-4.294492,Alpha,Alpha,Alpha,Alpha
-10.026425,1.3547932,Beta,Beta,Beta,Beta
-2.725812,16.25205,Ductal,Ductal,Ductal,Ductal
9.043284,-4.665345,Alpha,Alpha,Alpha,Alpha
-2.3544068,16.337442,Ductal,Ductal,Ductal,Ductal
-9.5140915,1.6768816,Beta,Beta,Beta,Beta
-8.717392,0.5219534,Beta,Beta,Beta,Beta
8.252922,-4.8030386,Alpha,Alpha,Alpha,Alpha
-9.30944,1.4573486,Beta,Beta,Beta,Beta
-9.497104,2.0082018,Beta,Beta,Beta,Beta
12.715262,4.288545,Beta,Beta,Stellate,Stellate
-2.5841694,16.201511,Ductal,Ductal,Ductal,Ductal
0.11999574,16.68559,Ductal,Ductal,Ductal,Ductal
17.510939,-3.1716104,Beta,Beta,Stellate,Beta
14.648563,4.1303353,Stellate,Beta,Stellate,Stellate
-8.994066,1.856456,Beta,Beta,Beta,Beta
3.3106484,2.832947,Delta,Delta,Beta,Delta
3.0132108,-1.1160133,Gamma,Delta,Alpha,Gamma
-10.178699,1.5176469,Beta,Beta,Beta,Beta
-7.5006895,1.0796226,Beta,Beta,Beta,Beta
-9.522995,0.8614135,Beta,Beta,Beta,Beta
7.8754435,-5.1409326,Alpha,Alpha,Alpha,Alpha
-9.446583,1.7531357,Beta,Beta,Beta,Beta
-8.909544,0.94148755,Beta,Beta,Beta,Beta
3.316256,3.652073,Delta,Delta,Beta,Delta
-0.13996893,18.04417,Ductal,Ductal,Ductal,Ductal
-9.105113,0.5082409,Beta,Beta,Beta,Beta
2.8108861,3.3926802,Delta,Delta,Beta,Delta
2.9576864,3.010365,Delta,Delta,Beta,Delta
-9.468296,1.9252983,Beta,Beta,Beta,Beta
3.217425,3.5072172,Delta,Delta,Beta,Delta
-6.8921833,-1.4277805,Beta,Beta,Beta,Beta
14.808263,4.0110893,Stellate,Beta,Stellate,Stellate
-7.5040326,0.9577092,Beta,Beta,Beta,Beta
-8.511903,0.69480556,Beta,Beta,Beta,Beta
2.9018466,3.9267159,Delta,Delta,Beta,Delta
-9.61378,0.9271562,Beta,Beta,Beta,Beta
12.394287,4.6433954,Beta,Beta,Stellate,Beta
-9.064721,2.3489056,Beta,Beta,Beta,Beta
5.365479,10.053015,Acinar,Acinar,Acinar,Acinar
8.66714,-4.788096,Alpha,Alpha,Alpha,Alpha
3.0357077,3.7958157,Delta,Delta,Beta,Delta
-9.700315,1.5041832,Beta,Beta,Beta,Beta
8.906203,-4.7310047,Alpha,Alpha,Alpha,Alpha
-8.419313,1.6125212,Beta,Beta,Beta,Beta
16.822414,-5.213661,Beta,Beta,Beta,Beta
3.0513067,3.509668,Delta,Delta,Beta,Delta
3.7280402,2.630122,Delta,Delta,Beta,Delta
-9.780983,1.5475281,Beta,Beta,Beta,Beta
-8.235071,1.3038379,Beta,Beta,Beta,Beta
3.860232,2.95545,Delta,Delta,Beta,Delta
3.1868613,-0.5809256,Gamma,Delta,Alpha,Gamma
8.848195,-4.1179347,Alpha,Alpha,Alpha,Alpha
-9.6304245,1.4944429,Beta,Beta,Beta,Beta
-8.877751,1.7626907,Beta,Beta,Beta,Beta
-8.380056,0.35420328,Beta,Beta,Beta,Beta
-0.34904432,17.765207,Ductal,Ductal,Ductal,Ductal
2.9098396,3.642275,Delta,Delta,Beta,Delta
8.358882,-4.9320064,Alpha,Alpha,Alpha,Alpha
-9.554588,1.6588455,Beta,Beta,Beta,Beta
3.421194,-0.6251468,Gamma,Delta,Alpha,Gamma
-9.7779,1.7387795,Beta,Beta,Beta,Beta
-8.7701845,1.2183988,Beta,Beta,Beta,Beta
-9.561557,0.3125666,Beta,Beta,Beta,Beta
12.194423,4.38131,Beta,Beta,Stellate,Beta
9.170025,-3.9279487,Alpha,Alpha,Alpha,Alpha
3.5919504,2.8231366,Delta,Delta,Beta,Delta
8.060283,-4.5188756,Alpha,Alpha,Alpha,Alpha
17.22397,-5.483904,Beta,Beta,Beta,Beta
8.996156,-3.844022,Alpha,Alpha,Alpha,Alpha
2.9462087,2.8477263,Delta,Delta,Beta,Delta
-9.211833,1.6253343,Beta,Beta,Beta,Beta
3.311665,-0.59482425,Gamma,Delta,Beta,Gamma
-2.331667,16.820253,Ductal,Ductal,Ductal,Ductal
9.168148,-4.688302,Alpha,Alpha,Alpha,Alpha
8.816589,-4.1668057,Alpha,Alpha,Alpha,Alpha
3.4140944,3.2578132,Delta,Delta,Beta,Delta
-10.159267,1.6080638,Beta,Beta,Beta,Beta
-9.389047,1.4669116,Beta,Beta,Beta,Beta
-0.84786844,17.846855,Ductal,Ductal,Ductal,Ductal
8.353805,-4.598203,Alpha,Alpha,Alpha,Alpha
-8.792638,1.8662146,Beta,Beta,Beta,Beta
2.730253,3.3732862,Delta,Delta,Beta,Delta
13.166707,-8.577373,Beta,Beta,Beta,Beta
17.486742,-3.7674725,Beta,Beta,Stellate,Beta
-8.622183,0.6024857,Beta,Beta,Beta,Beta
-8.815141,0.09994917,Beta,Beta,Beta,Beta
-7.3205795,3.1638854,Beta,Beta,Beta,Beta
-7.34462,3.6517801,Beta,Beta,Beta,Beta
-8.536635,1.2195239,Beta,Beta,Beta,Beta
-8.976095,1.5269287,Beta,Beta,Beta,Beta
-9.408549,0.9543046,Beta,Beta,Beta,Beta
-8.2869,1.9893235,Beta,Beta,Beta,Beta
-9.005978,1.2471734,Beta,Beta,Beta,Beta
-8.305125,0.8763732,Beta,Beta,Beta,Beta
-7.7425437,0.7961559,Beta,Beta,Beta,Beta
2.7174973,-0.350898,Gamma,Delta,Alpha,Gamma
17.85509,-5.5244203,Beta,Beta,Beta,Beta
-9.305414,1.8848878,Beta,Beta,Beta,Beta
-8.318323,1.572748,Beta,Beta,Beta,Beta
-7.668432,2.869646,Beta,Beta,Beta,Beta
2.4819417,3.5908606,Delta,Delta,Beta,Delta
-8.257783,0.821518,Beta,Beta,Beta,Beta
3.301785,-0.50547063,Gamma,Delta,Beta,Gamma
3.8982227,0.5421332,Delta,Delta,Alpha,Delta
3.5094478,2.4668097,Delta,Delta,Beta,Delta
-9.001635,0.9160646,Beta,Beta,Beta,Beta
-9.204847,1.6828154,Beta,Beta,Beta,Beta
3.3234055,-0.520427,Gamma,Delta,Beta,Gamma
-8.421144,1.9066379,Beta,Beta,Beta,Beta
3.7879555,0.12354817,Delta,Delta,Alpha,Alpha
-8.478937,1.5919764,Beta,Beta,Beta,Beta
-9.115711,1.340339,Beta,Beta,Beta,Beta
-8.737354,1.6799334,Beta,Beta,Beta,Beta
16.841913,-5.325137,Beta,Beta,Beta,Beta
-9.232938,1.901412,Beta,Beta,Beta,Beta
3.1413631,2.6899185,Delta,Delta,Beta,Delta
8.138875,-5.4324083,Alpha,Alpha,Alpha,Alpha
3.8074741,0.26958966,Delta,Delta,Alpha,Delta
8.850683,-5.0293007,Alpha,Alpha,Alpha,Alpha
12.001585,4.415841,Beta,Beta,Stellate,Beta
6.615901,-3.6646771,Alpha,Alpha,Alpha,Alpha
8.7620535,-5.2679067,Alpha,Alpha,Alpha,Alpha
-9.773195,0.87794304,Beta,Beta,Beta,Beta
-8.974114,1.670114,Beta,Beta,Beta,Beta
-0.03478723,16.585148,Ductal,Ductal,Ductal,Ductal
-7.0709705,3.272791,Beta,Beta,Beta,Beta
9.095471,-3.576817,Alpha,Alpha,Alpha,Alpha
-8.636966,2.3037167,Beta,Beta,Beta,Beta
9.189329,-3.7060068,Alpha,Alpha,Alpha,Alpha
-8.401632,2.6876242,Beta,Beta,Beta,Beta
-7.1542974,3.535253,Beta,Beta,Beta,Beta
3.552216,2.3468447,Delta,Delta,Beta,Delta
3.0716932,2.9950593,Delta,Delta,Beta,Delta
-8.921717,1.4292063,Beta,Beta,Beta,Beta
-7.2787127,3.2549844,Beta,Beta,Beta,Beta
-7.5129457,2.0769749,Beta,Delta,Beta,Beta
-0.55636275,15.975782,Ductal,Ductal,Ductal,Ductal
5.354517,9.198224,Acinar,Acinar,Acinar,Acinar
-9.043154,1.1194623,Beta,Beta,Beta,Beta
-9.233365,0.27727813,Beta,Beta,Alpha,Beta
-9.89143,-0.39538625,Beta,Beta,Beta,Beta
-9.203854,1.0438379,Beta,Beta,Beta,Beta
8.9902525,-4.089041,Alpha,Alpha,Alpha,Alpha
-8.327885,1.7522993,Beta,Beta,Beta,Beta
12.352016,4.472751,Beta,Beta,Stellate,Beta
-9.586799,1.7473183,Beta,Beta,Beta,Beta
3.1515386,-0.8062657,Gamma,Delta,Beta,Gamma
-8.221248,0.80971336,Beta,Beta,Beta,Beta
3.4923143,-0.6518683,Gamma,Delta,Beta,Gamma
16.757849,-5.3776054,Beta,Beta,Beta,Beta
-8.330071,2.0766559,Beta,Beta,Beta,Beta
8.603305,-4.68146,Alpha,Alpha,Alpha,Alpha
13.714128,5.235536,Stellate,Beta,Stellate,Stellate
-8.564053,0.030281333,Beta,Beta,Beta,Beta
12.0525255,4.9457345,Beta,Beta,Stellate,Beta
16.78454,-5.666295,Beta,Beta,Beta,Beta
2.9866385,-0.5127778,Gamma,Delta,Beta,Gamma
-8.838835,1.422109,Beta,Beta,Beta,Beta
-8.144101,1.5847739,Beta,Beta,Beta,Beta
8.427225,-5.3119287,Alpha,Alpha,Alpha,Beta
8.312933,-4.8359933,Alpha,Alpha,Alpha,Alpha
3.213339,-0.5381159,Gamma,Delta,Beta,Gamma
-9.152974,0.71135724,Beta,Beta,Beta,Beta
-7.3167634,3.6171212,Beta,Beta,Beta,Beta
3.190072,3.7165105,Delta,Delta,Beta,Delta
5.5007615,8.778757,Acinar,Acinar,Acinar,Acinar
5.462047,8.751315,Acinar,Acinar,Acinar,Acinar
3.173647,-1.420453,Gamma,Delta,Alpha,Gamma
-3.4332986,17.114986,Ductal,Ductal,Ductal,Ductal
-0.5638581,17.434818,Ductal,Ductal,Ductal,Ductal
18.074402,-5.6444674,Beta,Beta,Beta,Beta
2.8666549,2.452157,Delta,Delta,Beta,Delta
-7.9855943,1.5264187,Beta,Beta,Beta,Beta
-9.407073,0.11442511,Beta,Delta,Beta,Beta
16.59569,-5.459607,Beta,Beta,Beta,Beta
8.622037,-5.320267,Alpha,Alpha,Alpha,Alpha
5.1591535,8.452057,Acinar,Acinar,Acinar,Acinar
16.867329,-5.7413383,Beta,Beta,Beta,Beta
17.422699,-5.388056,Beta,Beta,Beta,Beta
8.292033,-4.883971,Alpha,Alpha,Alpha,Alpha
-7.2926636,3.465782,Beta,Beta,Beta,Beta
-6.638838,2.4182687,Beta,Beta,Beta,Beta
3.4568794,-0.47498965,Gamma,Delta,Beta,Gamma
-8.721935,2.1216202,Beta,Beta,Beta,Beta
6.533501,-4.344219,Alpha,Alpha,Alpha,Alpha
-7.787549,0.7175852,Beta,Beta,Beta,Beta
-8.344268,1.1606815,Beta,Beta,Beta,Beta
-8.740038,2.0677154,Beta,Beta,Beta,Beta
-7.017065,3.434969,Beta,Beta,Beta,Beta
-8.46493,0.9573198,Beta,Beta,Beta,Beta
3.025527,2.3176744,Delta,Delta,Beta,Delta
-7.045197,3.1447582,Beta,Beta,Beta,Beta
12.59544,5.2015076,Beta,Beta,Stellate,Beta
14.527253,4.1505694,Stellate,Beta,Stellate,Stellate
-8.888519,1.7170305,Beta,Beta,Beta,Beta
8.739407,-3.659681,Alpha,Alpha,Alpha,Alpha
-6.9327316,3.1841276,Beta,Beta,Beta,Beta
2.9532595,-0.9496987,Gamma,Delta,Beta,Gamma
12.22011,4.488846,Beta,Beta,Stellate,Beta
-8.828725,1.4747177,Beta,Beta,Beta,Beta
8.829777,-4.586682,Alpha,Alpha,Alpha,Alpha
12.446202,4.434173,Beta,Beta,Stellate,Beta
16.96095,-5.6092973,Beta,Beta,Beta,Beta
-8.401496,2.286238,Beta,Beta,Beta,Beta
-1.9181054,17.116459,Ductal,Ductal,Ductal,Ductal
17.300018,-5.921768,Beta,Beta,Beta,Beta
-0.4670054,15.919104,Ductal,Ductal,Ductal,Ductal
5.3730483,8.726864,Acinar,Acinar,Acinar,Acinar
6.428175,-4.9310107,Alpha,Alpha,Alpha,Alpha
2.6789727,2.5608928,Delta,Delta,Beta,Delta
2.5348957,2.3406422,Delta,Delta,Beta,Delta
13.346465,-7.276263,Beta,Beta,Alpha,Beta
-1.2335649,16.065516,Ductal,Ductal,Ductal,Ductal
17.210966,-5.5950613,Beta,Beta,Beta,Beta
17.16101,-5.5006557,Beta,Beta,Beta,Beta
2.5042307,-1.1039109,Gamma,Delta,Beta,Gamma
16.699715,-5.527045,Beta,Beta,Beta,Beta
17.225887,-5.908439,Beta,Beta,Beta,Beta
-7.075023,2.2043972,Beta,Beta,Beta,Beta
-8.6442175,1.5036802,Beta,Beta,Beta,Beta
3.3787827,-0.59574145,Gamma,Delta,Beta,Gamma
8.017448,-5.126294,Alpha,Beta,Beta,Beta
13.360621,-6.5690227,Beta,Beta,Alpha,Beta
-6.913924,2.966241,Beta,Beta,Beta,Beta
17.052242,-5.232845,Beta,Beta,Beta,Beta
3.201387,-0.22786847,Gamma,Delta,Beta,Gamma
12.131038,4.4717555,Beta,Beta,Stellate,Beta
8.485195,-5.5350223,Alpha,Alpha,Alpha,Alpha
-9.321278,1.793457,Beta,Beta,Beta,Beta
8.899678,-4.878386,Alpha,Alpha,Alpha,Alpha
5.4268327,9.435587,Acinar,Acinar,Acinar,Acinar
-0.32636964,16.142075,Ductal,Ductal,Ductal,Ductal
-7.5584426,2.025911,Beta,Beta,Beta,Beta
-6.899677,2.824319,Beta,Beta,Beta,Beta
-0.35286957,15.88991,Ductal,Ductal,Ductal,Ductal
-7.5291543,1.4747185,Beta,Beta,Beta,Beta
-8.438311,1.9792867,Beta,Beta,Beta,Beta
-2.7230136,16.337929,Ductal,Ductal,Ductal,Ductal
5.2872343,9.698764,Acinar,Acinar,Acinar,Acinar
17.57481,-5.686226,Beta,Beta,Beta,Beta
-6.791078,2.3165514,Beta,Beta,Beta,Beta
-6.198197,2.6499498,Beta,Delta,Beta,Beta
-7.845666,1.815498,Beta,Beta,Beta,Beta
-2.6773016,17.089317,Ductal,Ductal,Ductal,Ductal
14.5627165,4.1458583,Stellate,Beta,Stellate,Stellate
-8.619894,1.926625,Beta,Beta,Beta,Beta
12.376887,4.3242774,Beta,Beta,Stellate,Beta
5.227312,8.820923,Acinar,Acinar,Acinar,Acinar
2.535418,-0.85414064,Gamma,Delta,Beta,Gamma
11.961438,4.628437,Beta,Beta,Stellate,Beta
16.920145,-5.629849,Beta,Beta,Beta,Beta
17.255917,-5.1542525,Beta,Beta,Beta,Beta
7.162078,-5.657923,Alpha,Alpha,Alpha,Alpha
11.984016,4.6611123,Beta,Beta,Stellate,Beta
-7.238755,1.5908982,Beta,Beta,Beta,Beta
5.083729,10.464021,Acinar,Acinar,Acinar,Acinar
-8.396681,1.752213,Beta,Beta,Beta,Beta
16.758055,-5.2709923,Beta,Beta,Beta,Beta
17.190847,-5.604221,Beta,Beta,Beta,Beta
-8.456803,2.155986,Beta,Beta,Beta,Beta
5.674906,9.031835,Acinar,Acinar,Acinar,Acinar
2.74373,2.5299556,Delta,Delta,Beta,Delta
-8.570914,2.2021,Beta,Beta,Beta,Beta
-8.345409,1.0732102,Beta,Beta,Beta,Beta
-7.888405,2.3681514,Beta,Beta,Beta,Beta
-8.208365,2.7202077,Beta,Beta,Beta,Beta
-6.7660613,3.1964533,Beta,Beta,Beta,Beta
-8.129968,2.0239942,Beta,Beta,Beta,Beta
-7.542395,0.31916177,Beta,Beta,Beta,Beta
-7.4332495,2.5077262,Beta,Beta,Beta,Beta
2.7365189,-0.8832668,Gamma,Delta,Alpha,Gamma
-2.593141,16.050817,Ductal,Ductal,Ductal,Ductal
-8.232462,0.7893547,Beta,Beta,Beta,Beta
3.2643094,-0.88485956,Gamma,Delta,Alpha,Gamma
-7.1325593,2.1898737,Beta,Beta,Beta,Beta
2.763666,3.2645407,Delta,Delta,Beta,Delta
-7.8567805,1.6629341,Beta,Beta,Beta,Beta
-7.6392894,1.6143596,Beta,Beta,Beta,Beta
3.0686789,-0.6277671,Gamma,Delta,Beta,Alpha
11.738154,4.7449546,Beta,Beta,Stellate,Beta
2.5814989,1.9789748,Delta,Delta,Beta,Delta
-8.634822,2.1190505,Beta,Beta,Beta,Beta
2.866022,2.4287395,Delta,Delta,Beta,Delta
12.4011135,4.8064137,Beta,Beta,Stellate,Beta
2.340394,1.8245089,Delta,Delta,Beta,Delta
-8.459586,1.9078991,Beta,Beta,Beta,Beta
8.35631,-4.3477035,Alpha,Alpha,Alpha,Alpha
3.0725296,2.5851827,Delta,Delta,Beta,Delta
7.2665944,-4.6114316,Alpha,Alpha,Alpha,Alpha
12.455716,4.4164934,Beta,Beta,Stellate,Beta
12.378548,5.2305975,Beta,Beta,Stellate,Beta
-7.0651636,2.017869,Beta,Beta,Beta,Beta
17.020054,-5.8530617,Beta,Beta,Beta,Beta
17.225698,-5.932455,Beta,Beta,Beta,Beta
